name;line_id;station_id;Geo Shape;type;num_docks_available;is_installed;date_installed;price;price_navigo;web;project_owner;zdcld;zdcname;insee_code;municipality;x_long;y_lat;Geo Point;Column 45
BURES-SUR-YVETTE;RER B;678;"{""coordinates"": [2.163078, 48.695907], ""type"": ""Point""}";consigne;22;true;2021;30 €;0 €;https://diwio.fr/saclay-parking-velos-iledefrance-mobilites;IDFM;62851;Bures-sur-Yvette;91122;Bures-sur-Yvette;2.163078;48.695907;48.695907, 2.163078;
LE VESINET-CENTRE;RER A;625;"{""coordinates"": [2.134600922, 48.89008628], ""type"": ""Point""}";abri;60;true;2019;;NC;NC;CA - Saint Germain Boucles de Seine;64514;Le Vésinet - Centre;78650;Le Vésinet;2.134600922;48.89008628;48.89008628, 2.134600922;
LES BACONNETS;RER B;670;"{""coordinates"": [2.287318, 48.739766], ""type"": ""Point""}";consigne;20;true;2024;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;69622;Les Baconnets;92002;Antony;2.287318;48.739766;48.739766, 2.287318;
LES BACONNETS;RER B;671;"{""coordinates"": [2.287408, 48.739793], ""type"": ""Point""}";abri;22;true;2024;;NC;NC;EPT - Vallée Sud Grand Paris;69622;Les Baconnets;92002;Antony;2.287408;48.739793;48.739793, 2.287408;
LOZERE;RER B;817;"{""coordinates"": [2.211716, 48.70626], ""type"": ""Point""}";consigne;40;true;2021;30 €;0 €;https://diwio.fr/saclay-parking-velos-iledefrance-mobilites;IDFM;63029;Lozère;91477;Palaiseau;2.211716;48.70626;48.70626, 2.211716;
MASSY - PALAISEAU;RER B,RER C,TRAM 12,TRAIN V;588;"{""coordinates"": [2.261311, 48.725514], ""type"": ""Point""}";consigne;80;true;2019;30 €;0 €;https://diwio.fr/saclay-parking-velos-iledefrance-mobilites;IDFM;63244;Massy - Palaiseau;91377;Massy;2.261311;48.725514;48.725514, 2.261311;
MAIRIE DES LILAS;METRO 11;388;"{""coordinates"": [2.416479654, 48.87976126], ""type"": ""Point""}";consigne;28;true;2024;30 €;0 €;https://ratp.parkings-velos.iledefrance-mobilites.fr/;RATP;71909;Mairie des Lilas;93045;Les Lilas;2.416479654;48.87976126;48.87976126, 2.416479654;
MAISSE;RER D;975;"{""coordinates"": [2.393259, 48.393219], ""type"": ""Point""}";abri;24;true;2024;;NC;NC;SNCF;59470;Maisse;91359;Maisse;2.393259;48.393219;48.393219, 2.393259;
MALAKOFF - PLATEAU DE VANVES;METRO 13;110;"{""coordinates"": [2.298395, 48.822465], ""type"": ""Point""}";abri;104;true;2023;;NC;NC;RATP;73766;Malakoff - Plateau de Vanves;92046;Malakoff;2.298395;48.822465;48.822465, 2.298395;
MALAKOFF - RUE ETIENNE DOLET;METRO 13;118;"{""coordinates"": [2.297342, 48.815444], ""type"": ""Point""}";consigne;60;true;2023;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;70562;Malakoff - Rue Etienne Dolet;92046;Malakoff;2.297342;48.815444;48.815444, 2.297342;
MASSY EUROPE;TRAM 12;610;"{""coordinates"": [2.272811, 48.723272], ""type"": ""Point""}";abri;16;true;2024;;NC;NC;SNCF;99999028;MASSY EUROPE;91377;Massy;2.272811;48.723272;48.723272, 2.272811;
MAURICE AUDIN;TRAM 4;273;"{""coordinates"": [2.538267, 48.908478], ""type"": ""Point""}";abri;12;true - non labellisé;2021;;NC;NC;IDFM;73364;Maurice Audin;93014;Clichy-sous-Bois;2.538267;48.908478;48.908478, 2.538267;
MENNECY;RER D;1164;"{""coordinates"": [2.432762, 48.571053], ""type"": ""Point""}";abri;12;true;2024;;NC;NC;SNCF;59984;Mennecy;91386;Mennecy;2.432762;48.571053;48.571053, 2.432762;
MENNECY;RER D;1165;"{""coordinates"": [2.433026, 48.570926], ""type"": ""Point""}";consigne;10;true;2024;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;59984;Mennecy;91386;Mennecy;2.433026;48.570926;48.570926, 2.433026;
MESSIDOR LIBERTES;393;218;"{""coordinates"": [2.486529, 48.767909], ""type"": ""Point""}";abri;12;true;2020;;NC;NC;Département - Val-de-Marne;69872;Messidor - Libertés;94011;Bonneuil-sur-Marne;2.486529;48.767909;48.767909, 2.486529;
